Iteration 4: Best Performance: 1.111293038953049, Best Sequence: [True, False, True, np.False_, False, False, True, True, True, np.False_, np.False_, np.False_, np.True_, False, True, True, np.False_, True, np.False_, np.True_, np.True_, np.False_, np.True_, True, np.True_, np.False_, True, False, False, np.True_, np.False_, np.False_, np.False_, np.True_, np.False_, np.False_, True, False, np.False_, True, False, True, np.False_, True, np.True_, np.False_, True, True, True, np.True_, np.False_, np.False_, True, False, False, False, True, True, True, np.False_, np.False_, True, False, False, True, np.False_, False, np.True_, np.True_, np.True_, np.False_, np.False_, True, False, np.False_, False, True, True, True, False, np.False_, True, True, True, False, False, np.False_, False, np.False_, True, True]
Iteration 5: Best Performance: 1.2254605640661134, Best Sequence: [True, True, False, np.False_, True, True, True, True, True, np.False_, np.True_, np.False_, np.True_, False, False, True, np.False_, True, np.False_, np.False_, np.False_, np.False_, np.True_, False, np.False_, np.True_, False, True, True, np.False_, np.False_, np.False_, np.True_, np.True_, np.True_, np.True_, False, False, np.False_, False, True, True, np.False_, False, np.True_, np.True_, False, False, False, np.False_, np.False_, np.False_, True, True, True, True, False, True, True, np.True_, np.True_, True, False, False, True, np.True_, True, np.True_, np.False_, np.False_, np.False_, np.False_, True, False, np.False_, False, False, True, True, True, np.False_, False, False, True, True, True, np.False_, True, np.True_, True, True]
Iteration 39: Best Performance: 1.2644621293163654, Best Sequence: [True, True, False, False, True, False, True, True, True, np.True_, np.True_, False, np.False_, True, True, False, np.True_, False, False, False, True, np.True_, np.False_, False, np.False_, True, True, False, True, np.False_, np.False_, np.False_, True, False, True, False, True, True, False, False, False, False, False, False, np.True_, False, False, True, True, np.True_, False, np.True_, True, True, True, True, True, True, False, np.False_, True, False, False, False, False, False, True, np.True_, np.True_, False, np.True_, False, True, True, False, False, False, False, True, False, False, False, False, True, True, True, np.False_, False, False, False, False]
Iteration 0: Best Performance: 1.1499558453103642, Best Sequence: [True, True, False, np.False_, True, True, False, False, False, np.False_, np.False_, np.False_, np.True_, False, False, True, np.True_, False, np.True_, np.True_, np.False_, np.False_, np.True_, False, np.False_, np.False_, True, False, False, np.False_, np.True_, np.True_, np.True_, np.False_, np.False_, np.False_, True, False, np.False_, True, True, np.True_, np.True_, True, np.False_, np.False_, True, True, True, np.True_, np.False_, np.False_, True, True, True, True, False, False, True, np.False_, np.False_, False, False, False, True, np.False_, False, np.False_, np.False_, np.False_, np.False_, np.False_, True, True, np.False_, True, False, np.True_, np.True_, True, np.False_, True, False, True, True, False, np.False_, False, np.True_, True, True]
Iteration 12: Best Performance: 1.1787683755851286, Best Sequence: [False, True, False, False, True, False, False, False, True, np.False_, np.False_, np.True_, np.True_, False, False, True, np.False_, True, np.True_, np.True_, False, np.True_, np.True_, True, np.False_, np.True_, False, True, True, True, np.False_, np.True_, np.False_, np.False_, np.True_, np.False_, False, False, np.False_, True, False, np.True_, np.False_, True, np.False_, np.True_, False, True, True, np.False_, np.False_, np.False_, False, True, True, False, False, False, True, np.True_, np.False_, True, False, False, True, np.False_, False, np.False_, np.True_, np.True_, np.False_, np.False_, False, True, np.False_, True, False, True, np.True_, False, np.False_, True, False, True, False, False, np.False_, False, np.True_, True, False]
Iteration 13: Best Performance: 1.1811301860026062, Best Sequence: [True, True, False, False, True, False, True, True, False, np.False_, np.False_, np.False_, np.True_, False, True, True, np.True_, True, np.False_, np.False_, False, np.False_, np.False_, False, np.False_, np.True_, False, True, True, False, np.False_, np.False_, np.False_, np.True_, np.False_, np.False_, False, False, np.False_, True, False, np.True_, np.False_, True, np.False_, np.True_, True, True, True, np.False_, np.False_, np.False_, False, True, False, False, False, True, True, np.True_, np.False_, False, False, True, False, np.False_, False, np.False_, np.True_, np.False_, np.True_, np.False_, True, True, np.False_, False, False, True, np.True_, True, np.False_, True, False, True, True, True, np.False_, True, np.False_, True, True]
Iteration 21: Best Performance: 1.1891600570509286, Best Sequence: [True, True, False, True, True, False, True, False, False, np.False_, np.False_, np.True_, np.True_, True, False, True, np.True_, True, np.True_, False, True, np.False_, np.True_, True, np.False_, np.True_, True, False, True, False, np.True_, np.False_, np.True_, np.True_, np.False_, np.False_, True, False, np.False_, True, True, True, np.True_, False, np.True_, np.True_, False, True, False, np.True_, np.True_, np.False_, True, True, True, True, True, True, True, np.False_, np.False_, True, True, False, True, np.True_, True, np.False_, np.False_, np.True_, np.False_, np.True_, False, False, np.False_, True, False, True, True, True, np.False_, True, False, True, False, False, False, True, np.False_, False, False]
Iteration 0: Best Performance: 1.0583717855851176, Best Sequence: [False, True, False, np.True_, False, False, True, False, True, np.False_, np.True_, np.True_, np.True_, True, True, False, np.True_, True, np.True_, np.False_, np.False_, np.True_, np.True_, False, np.False_, np.True_, False, False, True, np.True_, np.False_, np.True_, np.True_, np.True_, np.False_, np.True_, False, True, np.False_, True, False, np.True_, np.True_, True, np.False_, np.False_, True, True, False, np.False_, np.False_, np.True_, False, False, True, False, False, True, True, np.True_, np.False_, True, True, False, True, np.True_, True, np.False_, np.True_, np.False_, np.False_, np.False_, True, False, np.True_, True, False, np.False_, np.True_, True, np.False_, False, False, True, False, False, np.True_, False, np.False_, False, True]
Iteration 5: Best Performance: 1.0692925767089556, Best Sequence: [False, True, False, np.True_, False, True, True, False, True, np.False_, np.True_, np.True_, np.True_, True, False, True, np.True_, False, np.True_, np.False_, np.True_, np.False_, np.True_, False, np.False_, np.True_, False, False, False, np.True_, np.False_, np.False_, np.True_, np.False_, np.False_, np.False_, True, False, np.True_, True, False, np.False_, np.False_, True, np.False_, np.False_, False, True, True, np.False_, np.False_, np.True_, True, True, True, False, False, True, True, np.True_, np.True_, False, True, False, True, np.False_, True, np.False_, np.True_, np.False_, np.True_, np.False_, True, False, np.False_, False, False, np.True_, np.True_, False, np.False_, True, False, False, False, True, np.True_, False, np.False_, True, True]
Iteration 30: Best Performance: 1.1300183787704123, Best Sequence: [False, True, False, True, True, False, True, False, False, True, np.True_, np.False_, True, False, False, False, np.False_, True, np.True_, True, False, False, True, True, np.False_, True, False, False, False, np.False_, True, True, np.False_, True, np.False_, True, True, False, np.False_, False, True, np.True_, False, False, np.False_, np.False_, True, True, True, np.True_, np.False_, np.True_, True, True, False, False, False, True, True, np.True_, True, True, True, True, True, np.False_, False, False, np.True_, False, np.True_, True, False, False, np.True_, True, False, np.True_, np.True_, False, np.False_, True, False, True, True, False, np.False_, False, True, True, False]
